concentration,seap,experiment,cytokine,log10conc,seap_s
10,33.16,ex1,IL-4 and IL-13,1,0.3316
20,42.78,ex1,IL-4 and IL-13,1.30102999566398,0.4278
40,63,ex1,IL-4 and IL-13,1.60205999132796,0.63
60,68.18,ex1,IL-4 and IL-13,1.77815125038364,0.6818
80,71.79,ex1,IL-4 and IL-13,1.90308998699194,0.7179
100,70.73,ex1,IL-4 and IL-13,2,0.7073
1000,151.3,ex1,IL-4 and IL-13,3,1.513
10,33.36,ex1,IL-4 and IL-13,1,0.3336
20,41.85,ex1,IL-4 and IL-13,1.30102999566398,0.4185
40,68.7,ex1,IL-4 and IL-13,1.60205999132796,0.687
60,70.95,ex1,IL-4 and IL-13,1.77815125038364,0.7095
80,86.39,ex1,IL-4 and IL-13,1.90308998699194,0.8639
100,79.67,ex1,IL-4 and IL-13,2,0.7967
1000,169.2,ex1,IL-4 and IL-13,3,1.692
10,31.04,ex1,IL-4 and IL-13,1,0.3104
20,41.94,ex1,IL-4 and IL-13,1.30102999566398,0.4194
40,64.06,ex1,IL-4 and IL-13,1.60205999132796,0.6406
60,72.99,ex1,IL-4 and IL-13,1.77815125038364,0.7299
80,84.36,ex1,IL-4 and IL-13,1.90308998699194,0.8436
100,82.44,ex1,IL-4 and IL-13,2,0.8244
1000,168.1,ex1,IL-4 and IL-13,3,1.681
10,58.13295191,ex2,IL-4 and IL-13,1,0.5813295191
20,78.05072813,ex2,IL-4 and IL-13,1.30102999566398,0.7805072813
40,100.2754219,ex2,IL-4 and IL-13,1.60205999132796,1.002754219
60,115.5945981,ex2,IL-4 and IL-13,1.77815125038364,1.155945981
80,118.9436891,ex2,IL-4 and IL-13,1.90308998699194,1.189436891
100,135.7905446,ex2,IL-4 and IL-13,2,1.357905446
1000,194.301812,ex2,IL-4 and IL-13,3,1.94301812
10,55.12653585,ex2,IL-4 and IL-13,1,0.5512653585
20,73.15637046,ex2,IL-4 and IL-13,1.30102999566398,0.7315637046
40,95.19498167,ex2,IL-4 and IL-13,1.60205999132796,0.9519498167
60,113.9797311,ex2,IL-4 and IL-13,1.77815125038364,1.139797311
80,121.3085571,ex2,IL-4 and IL-13,1.90308998699194,1.213085571
100,125.7905337,ex2,IL-4 and IL-13,2,1.257905337
1000,202.6576582,ex2,IL-4 and IL-13,3,2.026576582
10,55.052826,ex3,IL-4 and IL-13,1,0.55052826
20,68.3900159,ex3,IL-4 and IL-13,1.30102999566398,0.683900159
40,94.85006217,ex3,IL-4 and IL-13,1.60205999132796,0.9485006217
60,114.1936956,ex3,IL-4 and IL-13,1.77815125038364,1.141936956
80,124.4572154,ex3,IL-4 and IL-13,1.90308998699194,1.244572154
100,135.076583,ex3,IL-4 and IL-13,2,1.35076583
1000,206.9144233,ex3,IL-4 and IL-13,3,2.069144233
10,58.81121908,ex3,IL-4 and IL-13,1,0.5881121908
20,75.4676128,ex3,IL-4 and IL-13,1.30102999566398,0.754676128
40,100.4800534,ex3,IL-4 and IL-13,1.60205999132796,1.004800534
60,116.3063017,ex3,IL-4 and IL-13,1.77815125038364,1.163063017
80,123.5765702,ex3,IL-4 and IL-13,1.90308998699194,1.235765702
100,136.7837889,ex3,IL-4 and IL-13,2,1.367837889
1000,200.8783925,ex3,IL-4 and IL-13,3,2.008783925
10,12.23,ex1,IL-13,1,0.1223
20,32.7,ex1,IL-13,1.30102999566398,0.327
40,46.5,ex1,IL-13,1.60205999132796,0.465
60,45.36,ex1,IL-13,1.77815125038364,0.4536
80,56.13,ex1,IL-13,1.90308998699194,0.5613
100,50,ex1,IL-13,2,0.5
1000,103,ex1,IL-13,3,1.03
10,9.857,ex1,IL-13,1,0.09857
20,27.99,ex1,IL-13,1.30102999566398,0.2799
40,45.44,ex1,IL-13,1.60205999132796,0.4544
60,41.55,ex1,IL-13,1.77815125038364,0.4155
80,59.36,ex1,IL-13,1.90308998699194,0.5936
100,53.08,ex1,IL-13,2,0.5308
1000,86,ex1,IL-13,3,0.86
10,10.83,ex1,IL-13,1,0.1083
20,24.82,ex1,IL-13,1.30102999566398,0.2482
40,45.99,ex1,IL-13,1.60205999132796,0.4599
60,49.37,ex1,IL-13,1.77815125038364,0.4937
80,58.78,ex1,IL-13,1.90308998699194,0.5878
100,56.94,ex1,IL-13,2,0.5694
1000,81.37,ex1,IL-13,3,0.8137
10,44.71747748,ex2,IL-13,1,0.4471747748
20,53.59807591,ex2,IL-13,1.30102999566398,0.5359807591
40,61.81995822,ex2,IL-13,1.60205999132796,0.6181995822
60,73.69771667,ex2,IL-13,1.77815125038364,0.7369771667
80,82.33430216,ex2,IL-13,1.90308998699194,0.8233430216
100,89.95736706,ex2,IL-13,2,0.8995736706
1000,212.7027055,ex2,IL-13,3,2.127027055
10,39.9597005,ex2,IL-13,1,0.399597005
20,49.31857612,ex2,IL-13,1.30102999566398,0.4931857612
40,60.33428951,ex2,IL-13,1.60205999132796,0.6033428951
60,70.11862086,ex2,IL-13,1.77815125038364,0.7011862086
80,77.73353572,ex2,IL-13,1.90308998699194,0.7773353572
100,87.91907423,ex2,IL-13,2,0.8791907423
1000,192.5900847,ex2,IL-13,3,1.925900847
10,38.13805036,ex3,IL-13,1,0.3813805036
20,48.71212219,ex3,IL-13,1.30102999566398,0.4871212219
40,60.67895203,ex3,IL-13,1.60205999132796,0.6067895203
60,73.74839372,ex3,IL-13,1.77815125038364,0.7374839372
80,82.88368516,ex3,IL-13,1.90308998699194,0.8288368516
100,90.48182321,ex3,IL-13,2,0.9048182321
1000,199.8310825,ex3,IL-13,3,1.998310825
10,38.23327391,ex3,IL-13,1,0.3823327391
20,49.19730078,ex3,IL-13,1.30102999566398,0.4919730078
40,59.39189183,ex3,IL-13,1.60205999132796,0.5939189183
60,72.50160618,ex3,IL-13,1.77815125038364,0.7250160618
80,77.99013231,ex3,IL-13,1.90308998699194,0.7799013231
100,87.59491932,ex3,IL-13,2,0.8759491932
1000,196.013499,ex3,IL-13,3,1.96013499
10,12.23,ex1,IL-4,1,0.1223
20,32.7,ex1,IL-4,1.30102999566398,0.327
40,46.5,ex1,IL-4,1.60205999132796,0.465
60,45.36,ex1,IL-4,1.77815125038364,0.4536
80,56.13,ex1,IL-4,1.90308998699194,0.5613
100,50,ex1,IL-4,2,0.5
1000,103,ex1,IL-4,3,1.03
10,9.857,ex1,IL-4,1,0.09857
20,27.99,ex1,IL-4,1.30102999566398,0.2799
40,45.44,ex1,IL-4,1.60205999132796,0.4544
60,41.55,ex1,IL-4,1.77815125038364,0.4155
80,59.36,ex1,IL-4,1.90308998699194,0.5936
100,53.08,ex1,IL-4,2,0.5308
1000,86,ex1,IL-4,3,0.86
10,10.83,ex1,IL-4,1,0.1083
20,24.82,ex1,IL-4,1.30102999566398,0.2482
40,45.99,ex1,IL-4,1.60205999132796,0.4599
60,49.37,ex1,IL-4,1.77815125038364,0.4937
80,58.78,ex1,IL-4,1.90308998699194,0.5878
100,56.94,ex1,IL-4,2,0.5694
1000,81.37,ex1,IL-4,3,0.8137
10,35.44526098,ex2,IL-4,1,0.3544526098
20,59.40786255,ex2,IL-4,1.30102999566398,0.5940786255
40,81.12371371,ex2,IL-4,1.60205999132796,0.8112371371
60,94.83784054,ex2,IL-4,1.77815125038364,0.9483784054
80,100.7432451,ex2,IL-4,1.90308998699194,1.007432451
100,104.8153186,ex2,IL-4,2,1.048153186
1000,184.076568,ex2,IL-4,3,1.84076568
10,35.2029243,ex2,IL-4,1,0.352029243
20,54.07186974,ex2,IL-4,1.30102999566398,0.5407186974
40,80.88400925,ex2,IL-4,1.60205999132796,0.8088400925
60,98.27928193,ex2,IL-4,1.77815125038364,0.9827928193
80,103.6383494,ex2,IL-4,1.90308998699194,1.036383494
100,117.2342252,ex2,IL-4,2,1.172342252
1000,188.8963956,ex2,IL-4,3,1.888963956
10,34.42909832,ex3,IL-4,1,0.3442909832
20,55.83046781,ex3,IL-4,1.30102999566398,0.5583046781
40,81.85006189,ex3,IL-4,1.60205999132796,0.8185006189
60,100.2773489,ex3,IL-4,1.77815125038364,1.002773489
80,110.4684724,ex3,IL-4,1.90308998699194,1.104684724
100,122.2635175,ex3,IL-4,2,1.222635175
1000,194.8085454,ex3,IL-4,3,1.948085454
10,34.84118262,ex3,IL-4,1,0.3484118262
20,57.12271249,ex3,IL-4,1.30102999566398,0.5712271249
40,82.75740453,ex3,IL-4,1.60205999132796,0.8275740453
60,98.44079441,ex3,IL-4,1.77815125038364,0.9844079441
80,103.8294701,ex3,IL-4,1.90308998699194,1.038294701
100,118.828824,ex3,IL-4,2,1.18828824
1000,190.0337838,ex3,IL-4,3,1.900337838
