Price,Carats,Color,Clarity,Cut
1000,0.3,E,VVS1,Excellent
1000,0.44,E,VS2,Excellent
1000,0.31,E,VVS1,Excellent
1000,0.66,K,SI1,Excellent
1000,0.47,H,VS2,Very Good
1000,0.4,G,VS1,Excellent
1000,0.36,D,VS2,Excellent
1000,0.52,H,SI2,Very Good
1001,0.53,D,SI2,Very Good
1001,0.43,F,VS2,Excellent
1001,0.43,F,VS2,Very Good
1001,0.43,F,VS2,Very Good
1001,0.3,E,VVS1,Good
1001,0.47,I,VS2,Excellent
1001,0.41,E,VS2,Excellent
1001,0.44,D,SI1,Excellent
1001,0.36,F,VVS2,Excellent
1001,0.4,E,VS1,Good
1001,0.4,E,VS1,Good
1002,0.32,F,IF,Very Good
1002,0.5,F,SI2,Very Good
1002,0.5,H,SI1,Good
1002,0.36,E,VS1,Excellent
1002,0.44,E,VS2,Excellent
1002,0.31,E,VVS1,Very Good
1017,0.45,F,VS2,Very Good
1017,0.51,I,SI1,Very Good
1017,0.3,E,VVS1,Excellent
1017,0.51,I,SI1,Ideal
1018,0.41,G,VS1,Ideal
1018,0.31,E,VVS1,Excellent
1018,0.31,E,VVS1,Excellent
1018,0.31,E,VVS1,Very Good
1018,0.31,E,VVS1,Very Good
1018,0.31,E,VVS1,Excellent
1018,0.31,E,VVS1,Excellent
1018,0.31,E,VVS1,Excellent
1018,0.31,E,VVS1,Very Good
1018,0.4,F,VVS2,Very Good
1018,0.31,E,IF,Very Good
1018,0.31,E,IF,Very Good
1019,0.42,G,VVS2,Excellent
1019,0.33,D,VVS2,Ideal
1019,0.37,H,VVS1,Excellent
1019,0.45,J,VVS1,Very Good
1019,0.4,E,VS1,Good
1019,0.4,E,VS1,Very Good
1019,0.32,D,VVS1,Very Good
1019,0.32,D,VVS1,Excellent
1019,0.37,D,VVS2,Excellent
1036,0.33,E,VVS1,Excellent
1036,0.33,E,VVS1,Ideal
1037,0.37,E,VVS2,Very Good
1037,0.37,E,VVS2,Very Good
1037,0.43,D,VS2,Excellent
1037,0.43,D,VS2,Excellent
1037,0.43,D,VS2,Excellent
1037,0.43,D,VS2,Excellent
1037,0.43,D,VS2,Excellent
1037,0.34,D,VVS1,Excellent
1037,0.37,E,VVS1,Excellent
1037,0.37,E,VVS1,Excellent
1037,0.5,D,SI2,Good
1037,0.33,F,VVS1,Excellent
1037,0.57,J,VS2,Good
1037,0.4,H,VVS1,Ideal
1037,0.4,H,VVS1,Excellent
1037,0.4,H,VVS1,Excellent
1037,0.4,H,VVS1,Excellent
1037,0.44,D,VS2,Excellent
1037,0.31,E,VVS1,Excellent
1037,0.31,D,VVS1,Excellent
1037,0.31,D,VVS1,Excellent
1037,0.4,F,VS1,Very Good
1037,0.4,F,VS1,Very Good
1053,0.32,F,VVS1,Ideal
1053,0.32,F,VVS1,Excellent
1053,0.4,F,VVS2,Very Good
1053,0.48,G,VS2,Very Good
1053,0.33,D,VVS2,Excellent
1054,0.38,E,VS1,Excellent
1054,0.32,E,IF,Excellent
1054,0.31,G,IF,Excellent
1054,0.53,F,SI2,Very Good
1054,0.42,D,VS1,Excellent
1054,0.42,D,VS1,Very Good
1054,0.34,F,IF,Very Good
1054,0.36,E,VVS1,Excellent
1054,0.51,J,VS1,Very Good
1054,0.34,E,VVS2,Excellent
1054,0.33,D,VVS1,Very Good
1055,0.33,E,VVS1,Excellent
1055,0.4,E,VS1,Very Good
1055,0.4,E,VS1,Very Good
1055,0.4,E,VS1,Excellent
1055,0.41,E,VS1,Very Good
1055,0.41,E,VS1,Very Good
1055,0.37,E,VS1,Excellent
1055,0.4,I,IF,Very Good
1055,0.37,D,VVS2,Excellent
1076,0.38,E,VS1,Excellent
1076,0.45,E,VS2,Excellent
1076,0.5,E,SI2,Very Good
1076,0.5,G,SI1,Excellent
1076,0.5,G,SI1,Excellent
1076,0.42,F,VS1,Very Good
1076,0.42,F,VS1,Excellent
1076,0.5,E,SI2,Excellent
1076,0.5,G,SI1,Very Good
1076,0.62,J,VS2,Good
1076,0.5,J,VS2,Excellent
1076,0.39,E,VVS1,Excellent
1076,0.39,E,VVS1,Excellent
1077,0.37,H,VVS1,Ideal
1077,0.37,D,VS1,Excellent
1077,0.37,D,VS1,Excellent
1077,0.54,H,SI2,Very Good
1077,0.46,D,VS2,Excellent
1077,0.57,J,VS2,Very Good
1077,0.36,G,VVS1,Excellent
1078,0.38,E,VS1,Ideal
1078,0.34,F,IF,Excellent
1078,0.31,E,VVS1,Ideal
1078,0.52,E,SI2,Excellent
1078,0.5,I,VS2,Very Good
1099,0.44,G,VVS2,Excellent
1099,0.35,G,IF,Ideal
1099,0.35,E,VVS2,Excellent
1099,0.55,G,SI1,Excellent
1100,0.32,F,IF,Ideal
1100,0.32,F,IF,Excellent
1100,0.33,F,VVS1,Excellent
1100,0.46,E,VS2,Good
1100,0.42,F,VVS2,Very Good
1100,0.44,F,VS2,Excellent
1101,0.5,E,SI1,Good
1101,0.4,F,VVS2,Excellent
1101,0.39,G,IF,Excellent
1101,0.62,K,VS1,Excellent
1101,0.3,E,IF,Very Good
1102,0.43,F,VS1,Very Good
1102,0.4,E,VS1,Excellent
1102,0.4,E,VS1,Very Good
1102,0.4,E,VS1,Excellent
1102,0.64,J,SI1,Excellent
1102,0.4,E,VS1,Excellent
1102,0.4,E,VS1,Very Good
1102,0.4,E,VS1,Excellent
1102,0.4,E,VS1,Excellent
1102,0.4,E,VS1,Excellent
1129,0.57,F,SI2,Very Good
1129,0.57,H,SI1,Excellent
1129,0.57,H,SI1,Very Good
1129,0.36,G,VVS1,Excellent
1129,0.4,F,VS1,Good
1129,0.34,F,IF,Excellent
1129,0.54,H,SI1,Excellent
1129,0.51,E,SI2,Very Good
1129,0.45,F,VS1,Excellent
1129,0.34,G,IF,Excellent
1129,0.34,F,VVS1,Excellent
1130,0.4,G,VVS1,Very Good
1130,0.4,F,VVS2,Excellent
1130,0.41,E,VS1,Excellent
1130,0.41,E,VS1,Excellent
1130,0.41,E,VS1,Excellent
1130,0.41,E,VS1,Excellent
1130,0.41,E,VS1,Excellent
1130,0.41,E,VS1,Excellent
1130,0.41,E,VS1,Excellent
1130,0.41,E,VS1,Very Good
1130,0.41,E,VS1,Excellent
1130,0.41,E,VVS2,Excellent
1130,0.41,E,VS1,Excellent
1130,0.41,E,VS1,Very Good
1154,0.41,F,VVS1,Excellent
1154,0.38,E,IF,Excellent
1154,0.38,E,IF,Excellent
1154,0.41,F,VVS1,Very Good
1154,0.41,F,VVS1,Very Good
1154,0.41,G,IF,Very Good
1154,0.41,F,VVS1,Excellent
1154,0.41,D,VVS2,Excellent
1154,0.41,D,VVS2,Very Good
1155,0.32,E,IF,Excellent
1155,0.32,E,IF,Ideal
1155,0.42,D,VS1,Very Good
1155,0.54,G,SI1,Very Good
1155,0.54,G,VS2,Very Good
1155,0.61,J,VS2,Excellent
1155,0.41,F,VS1,Excellent
1156,0.5,E,SI2,Very Good
1156,0.5,E,SI2,Very Good
1156,0.5,E,SI2,Very Good
1156,0.51,F,SI1,Excellent
1156,0.35,G,IF,Ideal
1156,0.45,I,VVS1,Excellent
1156,0.4,E,VVS1,Very Good
1156,0.4,E,VVS1,Very Good
1156,0.4,E,VVS1,Very Good
1171,0.4,D,VVS2,Very Good
1171,0.3,D,IF,Very Good
1171,0.3,D,IF,Very Good
1171,0.3,D,IF,Very Good
1171,0.5,H,VS2,Excellent
1172,0.51,E,SI1,Good
1172,0.51,G,VS2,Very Good
1172,0.51,E,SI1,Very Good
1172,0.51,E,SI1,Very Good
1172,0.51,G,VS2,Very Good
1172,0.52,F,SI1,Very Good
1172,0.45,G,VVS2,Excellent
1172,0.52,H,SI1,Excellent
1172,0.47,I,VVS1,Excellent
1172,0.47,G,VS1,Very Good
1173,0.4,F,VS1,Excellent
1173,0.37,H,IF,Excellent
1173,0.53,E,SI1,Very Good
1173,0.33,E,IF,Excellent
1173,0.51,H,SI1,Excellent
1173,0.38,E,IF,Excellent
1174,0.47,G,VVS2,Very Good
1174,0.35,G,IF,Excellent
1174,0.35,G,IF,Excellent
1174,0.44,E,VVS1,Very Good
1193,0.31,D,IF,Ideal
1193,0.6,J,VS1,Very Good
1193,0.42,G,VVS1,Very Good
1193,0.42,F,VVS2,Excellent
1193,0.42,G,VVS1,Very Good
1193,0.42,G,VVS1,Very Good
1193,0.42,G,VVS1,Very Good
1194,0.5,I,VS1,Very Good
1194,0.53,F,VS2,Very Good
1194,0.5,E,SI1,Excellent
1194,0.44,E,VVS2,Excellent
1194,0.53,F,SI1,Very Good
1194,0.5,G,VS2,Very Good
1194,0.4,D,VS1,Very Good
1194,0.43,E,VS1,Excellent
1194,0.42,D,VS1,Excellent
1194,0.52,E,SI1,Very Good
1195,0.35,D,VVS1,Excellent
1195,0.35,D,VVS1,Excellent
1195,0.51,H,VS2,Very Good
1195,0.51,H,VS2,Excellent
1195,0.51,G,SI1,Excellent
1195,0.51,D,SI2,Excellent
1195,0.55,H,VS2,Very Good
1195,0.41,E,VVS2,Excellent
1215,0.33,E,IF,Very Good
1215,0.56,F,SI2,Excellent
1215,0.6,F,SI2,Very Good
1215,0.4,D,VVS2,Very Good
1215,0.4,F,VVS1,Very Good
1215,0.4,F,VVS1,Excellent
1215,0.4,D,VVS2,Excellent
1215,0.4,G,IF,Very Good
1215,0.4,D,VVS2,Very Good
1215,0.52,D,SI2,Very Good
1215,0.4,F,VVS1,Very Good
1215,0.4,F,VVS1,Ideal
1215,0.4,F,VVS1,Excellent
1215,0.4,F,VVS1,Excellent
1215,0.4,F,VVS1,Excellent
1215,0.65,J,VS2,Excellent
1215,0.4,F,VVS1,Very Good
1215,0.4,F,VVS1,Very Good
1215,0.4,D,VVS2,Excellent
1215,0.43,E,VS1,Excellent
1216,0.44,D,VS1,Excellent
1216,0.41,I,IF,Ideal
1216,0.4,E,VS1,Very Good
1216,0.4,G,VVS1,Excellent
1216,0.4,G,VVS1,Excellent
1237,0.42,F,VVS1,Excellent
1237,0.38,F,VVS1,Excellent
1237,0.62,J,VS1,Good
1237,0.38,F,VVS1,Ideal
1238,0.42,D,VS1,Excellent
1238,0.54,E,SI2,Very Good
1238,0.4,D,VVS2,Very Good
1239,0.4,F,VVS1,Excellent
1239,0.4,F,VVS1,Excellent
1239,0.4,F,VVS1,Excellent
1239,0.47,D,VS1,Excellent
1239,0.44,F,VVS1,Excellent
1239,0.56,G,SI1,Very Good
1239,0.4,E,VVS2,Ideal
1239,0.61,F,SI1,Very Good
1239,0.41,E,VVS2,Very Good
1239,0.54,D,SI2,Excellent
1239,0.5,J,VVS1,Very Good
1239,0.6,I,VS2,Excellent
1240,0.57,E,SI2,Very Good
1240,0.58,G,SI1,Excellent
1240,0.49,F,VS1,Very Good
1240,0.43,F,VVS1,Very Good
1240,0.61,I,VS1,Good
1240,0.5,D,SI1,Very Good
1269,0.41,F,VVS1,Excellent
1269,0.4,E,VVS2,Excellent
1270,0.45,G,VVS1,Excellent
1270,0.45,F,VVS2,Excellent
1270,0.45,G,VVS1,Ideal
1270,0.45,F,VVS2,Excellent
1270,0.33,D,IF,Very Good
1270,0.38,E,VVS1,Excellent
1270,0.38,E,VVS1,Excellent
1270,0.37,E,VVS1,Ideal
1270,0.46,F,VS1,Excellent
1270,0.39,F,VVS1,Ideal
1271,0.71,K,VS2,Very Good
1271,0.52,E,SI1,Very Good
1271,0.58,E,SI1,Very Good
1271,0.58,E,SI1,Very Good
1272,0.53,E,SI1,Excellent
1272,0.35,F,IF,Excellent
1272,0.37,G,IF,Excellent
1272,0.41,E,VVS1,Ideal
1273,0.51,G,VS2,Very Good
1273,0.51,G,VS2,Very Good
1273,0.39,E,VVS1,Excellent
1273,0.47,F,VVS2,Very Good
1273,0.56,F,SI1,Very Good
1302,0.51,H,VS1,Very Good
1302,0.6,J,VS1,Excellent
1303,0.72,K,VS2,Very Good
1303,0.52,D,SI1,Very Good
1303,0.5,E,SI1,Very Good
1303,0.41,F,IF,Excellent
1303,0.5,E,SI1,Excellent
1303,0.42,E,VVS1,Excellent
1304,0.39,F,IF,Ideal
1304,0.61,E,SI2,Good
1304,0.61,G,SI1,Excellent
1304,0.58,D,SI1,Very Good
1304,0.43,G,IF,Excellent
1304,0.43,F,VVS1,Very Good
1304,0.43,F,VVS1,Excellent
1304,0.43,F,VVS1,Excellent
1304,0.5,H,VS2,Very Good
1304,0.4,D,VVS1,Very Good
1304,0.4,E,IF,Very Good
1304,0.4,E,IF,Very Good
1304,0.4,D,VVS1,Very Good
1304,0.4,D,VVS1,Excellent
1304,0.4,D,VVS1,Excellent
1304,0.4,D,VVS1,Excellent
1305,0.5,D,SI1,Very Good
1334,0.4,E,VVS1,Excellent
1334,0.4,E,VVS1,Excellent
1334,0.4,E,VVS1,Excellent
1334,0.5,H,VS1,Very Good
1334,0.7,H,SI2,Very Good
1334,0.47,F,VS1,Ideal
1334,0.44,F,VVS1,Excellent
1334,0.5,J,IF,Good
1335,0.39,E,IF,Ideal
1335,0.49,E,VS2,Excellent
1335,0.53,D,SI1,Very Good
1335,0.6,J,VVS2,Very Good
1335,0.6,I,VS2,Very Good
1336,0.47,D,VS2,Excellent
1336,0.54,E,SI1,Very Good
1336,0.7,K,VS1,Very Good
1336,0.54,E,SI1,Very Good
1336,0.43,F,VVS1,Ideal
1336,0.43,F,VVS1,Excellent
1336,0.71,J,VS2,Good
1336,0.64,H,SI1,Good
1336,0.56,G,SI1,Excellent
1336,0.56,G,SI1,Excellent
1336,0.56,G,SI1,Excellent
1336,0.5,F,SI1,Excellent
1366,0.5,I,VVS2,Excellent
1367,0.6,H,VS2,Very Good
1367,0.38,E,IF,Ideal
1367,0.5,J,VVS1,Very Good
1367,0.41,E,VVS1,Ideal
1367,0.53,G,VS2,Excellent
1367,0.42,G,IF,Excellent
1367,0.42,G,IF,Excellent
1368,0.43,H,VVS1,Excellent
1368,0.61,E,SI2,Excellent
1368,0.4,F,VS1,Very Good
1368,0.5,F,VS1,Very Good
1368,0.6,G,SI1,Excellent
1368,0.6,G,SI1,Very Good
1368,0.6,G,SI2,Excellent
1368,0.6,G,SI2,Excellent
1368,0.6,G,SI2,Excellent
1368,0.6,G,SI2,Excellent
1368,0.45,E,VS1,Excellent
1368,0.51,H,VS2,Excellent
1368,0.5,D,SI1,Very Good
1368,0.5,F,VS2,Very Good
1369,0.51,G,VS1,Good
1369,0.4,D,VVS2,Excellent
1369,0.44,F,IF,Excellent
1400,0.47,E,VVS2,Very Good
1400,0.54,F,VS2,Excellent
1400,0.7,J,SI1,Very Good
1400,0.7,K,VS1,Very Good
1400,0.54,F,VS2,Very Good
1400,0.7,J,SI1,Very Good
1400,0.7,J,SI1,Excellent
1400,0.7,I,SI2,Very Good
1400,0.7,J,SI1,Very Good
1400,0.7,J,SI1,Very Good
1400,0.7,J,SI1,Very Good
1400,0.7,J,SI1,Very Good
1400,0.7,J,SI1,Very Good
1400,0.7,J,SI1,Excellent
1400,0.7,J,SI1,Very Good
1400,0.7,I,SI2,Very Good
1400,0.42,E,VVS1,Excellent
1400,0.42,E,VVS1,Excellent
1401,0.7,K,SI1,Excellent
1401,0.6,I,VS2,Excellent
1401,0.42,D,VVS2,Excellent
1401,0.38,F,IF,Excellent
1401,0.4,D,VVS2,Excellent
1402,0.42,E,VVS1,Excellent
1402,0.53,G,VS2,Excellent
1434,0.73,K,VS1,Excellent
1434,0.41,F,IF,Excellent
1434,0.48,D,VS2,Excellent
1434,0.43,E,VS1,Excellent
1434,0.43,E,VVS1,Excellent
1434,0.5,H,VVS2,Excellent
1434,0.5,G,VS1,Very Good
1434,0.5,E,VS2,Very Good
1435,0.41,D,VVS2,Excellent
1435,0.43,D,VVS2,Ideal
1435,0.58,E,SI1,Very Good
1435,0.58,E,SI1,Excellent
1435,0.58,E,SI1,Very Good
1435,0.64,E,SI2,Very Good
1436,0.5,F,VS1,Very Good
1436,0.73,I,SI2,Good
1436,0.73,J,SI1,Very Good
1436,0.7,K,VS2,Excellent
1436,0.45,H,IF,Excellent
1436,0.51,D,SI1,Very Good
1436,0.7,J,VS1,Good
1436,0.72,J,SI2,Excellent
1436,0.5,E,VS1,Good
1436,0.72,J,SI2,Excellent
1436,0.72,J,SI2,Excellent
1471,0.58,G,VS2,Very Good
1471,0.43,D,VVS2,Excellent
1471,0.72,J,SI2,Excellent
1472,0.5,F,VS2,Very Good
1472,0.5,F,VS2,Very Good
1472,0.5,F,VS2,Very Good
1472,0.52,D,SI1,Excellent
1472,0.5,F,VS1,Very Good
1472,0.5,F,VS1,Very Good
1472,0.5,D,VS2,Very Good
1472,0.41,F,IF,Excellent
1472,0.41,F,IF,Excellent
1472,0.41,F,IF,Excellent
1473,0.4,E,VVS1,Excellent
1473,0.43,E,IF,Excellent
1473,0.44,F,VVS1,Excellent
1473,0.72,I,SI2,Very Good
1473,0.71,J,VS2,Very Good
1473,0.51,E,VS2,Very Good
1473,0.73,J,SI1,Very Good
1473,0.74,K,VS2,Ideal
1474,0.52,E,VS2,Very Good
1475,0.42,D,VVS1,Excellent
1475,0.42,E,IF,Excellent
1475,0.42,D,VVS1,Very Good
1507,0.6,E,SI1,Good
1507,0.75,K,VS1,Very Good
1507,0.42,E,IF,Excellent
1508,0.5,E,VS2,Very Good
1508,0.5,E,VS2,Very Good
1508,0.5,E,VS2,Very Good
1508,0.5,E,VS2,Very Good
1508,0.56,H,VS1,Excellent
1508,0.5,H,VVS1,Very Good
1508,0.5,F,VS2,Very Good
1508,0.52,D,VS2,Very Good
1508,0.5,D,VS2,Very Good
1508,0.5,F,VS1,Excellent
1508,0.54,F,VS2,Excellent
1508,0.7,J,SI1,Very Good
1508,0.63,F,SI1,Good
1508,0.7,I,SI2,Very Good
1508,0.54,F,VS2,Very Good
1508,0.45,F,IF,Ideal
1508,0.54,F,VS2,Excellent
1508,0.54,F,VS2,Very Good
1508,0.45,F,IF,Ideal
1508,0.7,I,SI2,Excellent
1508,0.54,F,VS2,Excellent
1508,0.7,I,SI1,Very Good
1553,0.5,F,VS1,Very Good
1553,0.42,D,VVS1,Ideal
1553,0.42,D,VVS1,Excellent
1553,0.5,E,VS2,Very Good
1553,0.75,K,VS2,Excellent
1554,0.43,D,VVS1,Excellent
1554,0.51,D,VS1,Good
1554,0.7,H,SI2,Very Good
1554,0.7,I,SI1,Very Good
1554,0.7,G,SI2,Very Good
1555,0.71,F,SI2,Very Good
1555,0.71,F,SI2,Good
1555,0.73,I,SI2,Very Good
1555,0.65,I,VS1,Excellent
1555,0.55,E,SI1,Ideal
1556,0.4,D,VVS1,Very Good
1556,0.4,D,VVS1,Excellent
1556,0.5,E,VS1,Very Good
1556,0.5,E,VS1,Very Good
1556,0.5,E,VS1,Very Good
1556,0.6,D,SI1,Excellent
1556,0.65,F,SI1,Very Good
1556,0.52,F,VS2,Ideal
1556,0.5,E,VS1,Very Good
1556,0.52,F,VS2,Excellent
1591,0.59,E,SI1,Excellent
1591,0.59,G,VS2,Excellent
1591,0.55,E,VS2,Very Good
1591,0.62,E,SI1,Very Good
1592,0.56,F,VS2,Excellent
1592,0.71,H,SI2,Very Good
1592,0.7,J,VS2,Very Good
1592,0.7,J,VS2,Very Good
1592,0.57,F,VS2,Good
1592,0.57,F,VS2,Excellent
1592,0.57,F,VS2,Excellent
1592,0.57,F,VS2,Excellent
1592,0.57,F,VS2,Excellent
1592,0.53,E,VS2,Very Good
1592,0.51,H,VVS1,Very Good
1593,0.5,F,VS1,Good
1593,0.5,F,VS1,Very Good
1594,0.7,H,SI1,Very Good
1594,0.5,E,VS2,Excellent
1594,0.48,H,IF,Ideal
1594,0.7,H,SI2,Very Good
1594,0.7,H,SI2,Very Good
1594,0.7,H,SI2,Very Good
1594,0.7,H,SI2,Very Good
1594,0.7,H,SI2,Very Good
1626,0.62,F,SI1,Very Good
1626,0.54,D,VS2,Very Good
1627,0.7,I,SI2,Excellent
1627,0.72,F,SI2,Excellent
1627,0.8,J,SI2,Good
1627,0.5,F,VS1,Excellent
1627,0.5,F,VS1,Excellent
1628,0.5,E,VS1,Very Good
1628,0.51,F,VS1,Excellent
1628,0.51,F,VS1,Excellent
1628,0.5,E,VS1,Very Good
1628,0.47,E,VVS2,Excellent
1629,0.71,J,VS1,Good
1629,0.52,I,IF,Excellent
1629,0.52,G,VVS2,Excellent
1629,0.52,G,VVS2,Very Good
1629,0.52,G,VVS2,Very Good
1629,0.62,G,VS2,Excellent
1629,0.62,E,SI1,Very Good
1629,0.56,F,VS2,Excellent
1630,0.64,E,SI1,Excellent
1630,0.7,J,VS1,Excellent
1630,0.63,F,SI1,Very Good
1630,0.7,H,SI1,Good
1630,0.5,D,VVS2,Good
1668,0.57,E,VS2,Excellent
1668,0.38,D,IF,Excellent
1668,0.46,D,VVS2,Very Good
1670,0.72,J,SI1,Very Good
1670,0.72,I,SI1,Very Good
1670,0.61,F,SI1,Excellent
1670,0.78,G,SI2,Good
1670,0.56,D,VS2,Very Good
1670,0.55,I,VVS1,Excellent
1671,0.5,G,VS1,Very Good
1671,0.5,G,VS1,Very Good
1671,0.7,G,SI2,Very Good
1671,0.66,F,SI1,Very Good
1671,0.7,G,SI2,Very Good
1671,0.7,H,SI1,Good
1672,0.72,J,VS1,Excellent
1672,0.7,H,SI2,Very Good
1672,0.7,H,SI2,Very Good
1672,0.7,I,SI1,Good
1672,0.7,I,SI1,Very Good
1672,0.62,G,SI1,Excellent
1673,0.56,D,VS2,Excellent
1673,0.41,D,IF,Excellent
1673,0.52,D,VS2,Ideal
1674,0.7,G,SI2,Very Good
1709,0.56,I,VVS2,Very Good
1709,0.61,G,VS2,Excellent
1710,0.57,D,VS2,Excellent
1710,0.7,F,SI2,Very Good
1710,0.78,J,SI1,Excellent
1710,0.52,D,VS1,Excellent
1710,0.59,F,SI1,Excellent
1711,0.56,H,VS1,Excellent
1711,0.56,H,VS1,Excellent
1711,0.56,H,VS1,Excellent
1711,0.51,E,VS1,Excellent
1712,0.5,E,VS2,Ideal
1712,0.49,G,VVS1,Excellent
1712,0.76,F,SI2,Very Good
1712,0.71,K,VVS2,Very Good
1713,0.58,E,VS2,Excellent
1713,0.62,D,SI1,Excellent
1713,0.56,F,VS2,Excellent
1715,0.5,F,VVS2,Very Good
1715,0.71,J,VS2,Excellent
1715,0.53,G,VVS2,Very Good
1715,0.75,J,SI1,Ideal
1715,0.71,I,SI1,Excellent
1715,0.71,I,SI1,Excellent
1715,0.71,H,SI2,Very Good
1751,0.71,G,SI2,Very Good
1752,0.62,G,SI1,Excellent
1752,0.62,G,SI1,Excellent
1752,0.71,J,VS1,Excellent
1752,0.51,D,VS2,Excellent
1752,0.7,F,SI2,Very Good
1752,0.52,E,VS1,Excellent
1753,0.58,F,VS2,Good
1753,0.74,H,SI2,Excellent
1753,0.51,D,VS2,Very Good
1754,0.54,F,VS2,Ideal
1754,0.5,F,VS1,Very Good
1754,0.5,E,VS1,Very Good
1756,0.55,F,VS1,Excellent
1756,0.5,D,VS1,Very Good
1756,0.5,D,VS1,Very Good
1756,0.72,H,SI1,Excellent
1756,0.58,D,SI1,Excellent
1756,0.71,H,SI2,Very Good
1756,0.71,I,SI1,Excellent
1757,0.52,I,IF,Excellent
1757,0.47,D,VVS1,Very Good
1757,0.59,E,VS2,Very Good
1757,0.72,E,SI2,Good
1757,0.72,E,SI2,Good
1798,0.73,F,SI2,Very Good
1798,0.64,H,VS1,Very Good
1798,0.82,I,SI2,Excellent
1798,0.8,K,VVS1,Excellent
1798,0.5,D,VS2,Very Good
1799,0.7,F,SI2,Good
1799,0.5,D,VS1,Excellent
1799,0.5,E,VVS2,Very Good
1799,0.49,G,VVS1,Excellent
1799,0.7,D,SI2,Good
1800,0.7,J,VVS1,Excellent
1800,0.6,E,SI1,Excellent
1800,0.52,D,VS1,Very Good
1800,0.75,H,SI2,Excellent
1800,0.71,F,SI1,Excellent
1800,0.7,I,SI1,Excellent
1800,0.7,I,SI1,Excellent
1800,0.71,H,SI1,Very Good
